VER.2021.909,#genre#
央视频道,#genre#
CCTV-1综合,http://111.12.101.23:6610/PLTV/77777777/224/3221225674/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV-1综合,http://39.134.115.163:8080/PLTV/88888910/224/3221225642/index.m3u8
CCTV-1综合,http://111.12.101.23:6610/PLTV/77777777/224/3221225769/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV-1综合,http://111.12.101.23:6610/PLTV/77777777/224/3221225772/index.m3u8?
CCTV-1综合,http://111.12.101.23:6610/PLTV/77777777/224/3221225654/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV-1综合,http://117.156.28.119/PLTV/88888888/224/3221225691/index.m3u8
CCTV-1综合,http://39.134.134.84/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226346/1.m3u8
CCTV-1综合,http://39.135.32.29:6610/000000001000/1000000001000021973/1.m3u8?
CCTV-1综合,http://39.135.34.150:8080/000000001000/1000000001000021973/1.m3u8?xtkg
CCTV-1综合,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225501/index.m3u8?fmt=ts2hls
CCTV-1综合,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225573/index.m3u8?fmt=ts2hls
CCTV-1综合,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225618/index.m3u8
CCTV-2财经,http://111.12.101.23:6610/PLTV/77777777/224/3221225657/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV-2财经,http://111.63.117.13:6060/030000001000/G_CCTV-2/G_CCTV-2.m3u8
CCTV-2财经,http://cctvalih5ca.v.myalicdn.com/live/cctv2_2/index.m3u8
CCTV-2财经,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225619/index.m3u8
CCTV-2财经,rtsp://183.252.176.54:554/PLTV/88888888/224/3221226655/40417429.smil
CCTV-2财经,http://39.134.134.84/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226472/1.m3u8
CCTV-2财经,http://39.134.134.84/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226472/1.m3u8$北京8M
CCTV-2财经,http://39.134.134.88/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226371/1.m3u8
CCTV-2财经,http://39.134.134.88/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226371/1.m3u8$北京8M
